run,step,metric,value,stderr
FineVisionDD,1200,average,0.264341097123272,
FineVisionDD,1200,average_rank,2.5714285714285716,
FineVisionDD,1200,docvqa_val_anls,0.3715200680496628,0.005949832790823121
FineVisionDD,1200,infovqa_val_anls,0.19222676120723237,0.006565134600763451
FineVisionDD,1200,mme_total_score,743.1522609043617,
FineVisionDD,1200,mmmu_val_mmmu_acc,0.26222,
FineVisionDD,1200,mmstar_average,0.21525975348273643,
FineVisionDD,1200,ocrbench_ocrbench_accuracy,0.3,
FineVisionDD,1200,textvqa_val_exact_match,0.24482000000000004,0.005905726800471586
FineVisionDD,2400,average,0.3178775750923926,
FineVisionDD,2400,average_rank,2.4285714285714284,
FineVisionDD,2400,docvqa_val_anls,0.47030638473718095,0.006228583735740807
FineVisionDD,2400,infovqa_val_anls,0.20933736286426122,0.006709818578853176
FineVisionDD,2400,mme_total_score,1185.2899159663866,
FineVisionDD,2400,mmmu_val_mmmu_acc,0.25,
FineVisionDD,2400,mmstar_average,0.24490170295291339,
FineVisionDD,2400,ocrbench_ocrbench_accuracy,0.384,
FineVisionDD,2400,textvqa_val_exact_match,0.34872,0.00652553360559637
FineVisionDD,3600,average,0.34596783716441254,
FineVisionDD,3600,average_rank,2.4285714285714284,
FineVisionDD,3600,docvqa_val_anls,0.52073479618703,0.006284214687786431
FineVisionDD,3600,infovqa_val_anls,0.22809076679417026,0.006878849345111437
FineVisionDD,3600,mme_total_score,1168.4510804321728,
FineVisionDD,3600,mmmu_val_mmmu_acc,0.25667,
FineVisionDD,3600,mmstar_average,0.23323146000527503,
FineVisionDD,3600,ocrbench_ocrbench_accuracy,0.454,
FineVisionDD,3600,textvqa_val_exact_match,0.38308000000000003,0.0066477952252059665
FineVisionDD,4800,average,0.3549622071061929,
FineVisionDD,4800,average_rank,2.2857142857142856,
FineVisionDD,4800,docvqa_val_anls,0.5347116037470354,0.006161120918755636
FineVisionDD,4800,infovqa_val_anls,0.22616829864068178,0.006791811877573115
FineVisionDD,4800,mme_total_score,1067.0920368147258,
FineVisionDD,4800,mmmu_val_mmmu_acc,0.27444,
FineVisionDD,4800,mmstar_average,0.23307334024944037,
FineVisionDD,4800,ocrbench_ocrbench_accuracy,0.473,
FineVisionDD,4800,textvqa_val_exact_match,0.38837999999999995,0.006654731565618713
FineVisionDD,6000,average,0.3848921103122081,
FineVisionDD,6000,average_rank,2.142857142857143,
FineVisionDD,6000,docvqa_val_anls,0.5762794835718067,0.006247345256607651
FineVisionDD,6000,infovqa_val_anls,0.25437900510747613,0.007245969162163573
FineVisionDD,6000,mme_total_score,1182.3837535014004,
FineVisionDD,6000,mmmu_val_mmmu_acc,0.27222,
FineVisionDD,6000,mmstar_average,0.2747341731939661,
FineVisionDD,6000,ocrbench_ocrbench_accuracy,0.495,
FineVisionDD,6000,textvqa_val_exact_match,0.43673999999999996,0.006759376621735387
FineVisionDD,7200,average,0.3978156352765745,
FineVisionDD,7200,average_rank,1.8571428571428572,
FineVisionDD,7200,docvqa_val_anls,0.5914916761381446,0.006230792162717311
FineVisionDD,7200,infovqa_val_anls,0.2584115961449724,0.007214877478455323
FineVisionDD,7200,mme_total_score,1174.9931972789116,
FineVisionDD,7200,mmmu_val_mmmu_acc,0.28889,
FineVisionDD,7200,mmstar_average,0.30312053937633016,
FineVisionDD,7200,ocrbench_ocrbench_accuracy,0.501,
FineVisionDD,7200,textvqa_val_exact_match,0.44398000000000004,0.006765405092173878
FineVisionDD,8400,average,0.4059159035113804,
FineVisionDD,8400,average_rank,1.7142857142857142,
